nodes,cores,repetition,kloops_time,matrixGen_time
4,768,5,0.102,0.062
1,96,4,0.02,0.216
4,768,2,0.094,0.065
1,96,1,0.022,0.219
2,384,4,0.037,0.073
1,24,1,0.039,1.267
3,576,5,0.081,0.065
3,576,3,0.07,0.062
1,192,1,0.028,0.129
1,24,3,0.039,1.259
1,192,2,0.025,0.137
1,24,4,0.039,1.284
1,96,3,0.021,0.22
4,768,1,0.111,0.068
3,576,1,0.08,0.059
2,384,1,0.04,0.09
3,576,4,0.064,0.068
1,96,2,0.02,0.218
1,48,3,0.027,0.543
4,768,3,0.087,0.083
1,48,4,0.032,0.55
1,192,4,0.028,0.142
4,768,4,0.093,0.064
1,192,5,0.026,0.144
2,384,5,0.047,0.071
1,48,1,0.034,0.521
1,192,3,0.025,0.147
1,24,2,0.039,1.269
1,48,5,0.033,0.535
1,96,5,0.02,0.212
2,384,2,0.04,0.076
2,384,3,0.037,0.07
1,48,2,0.033,0.55
3,576,2,0.068,0.059
1,24,5,0.039,1.267
