nodes,cores,repetition,algorithm,total time,generateRR time,selectseeds time
1,48,5,1D,33.658,0.332,33.326
4,768,5,2D,1.234,1.066,0.165
1,24,1,1D,67.809,0.698,67.108
1,192,5,1D,9.900,0.289,9.611
2,384,3,1D,7.224,0.227,6.997
1,48,3,1D,33.274,0.338,32.933
2,384,4,1D,6.978,0.226,6.751
2,384,5,1D,7.061,0.243,6.818
3,576,1,1D,5.970,0.403,5.567
4,768,5,1D,5.660,0.498,5.162
1,96,4,2D,0.517,0.266,0.242
4,768,2,2D,1.163,1.001,0.159
3,576,5,1D,5.987,0.385,5.601
1,96,1,2D,0.534,0.281,0.247
2,384,4,2D,0.528,0.404,0.115
1,24,5,1D,67.572,0.699,66.870
1,48,1,1D,33.574,0.333,33.237
1,48,4,1D,33.353,0.324,33.029
1,24,1,2D,2.116,0.761,1.330
3,576,5,2D,0.857,0.706,0.147
3,576,3,2D,0.888,0.752,0.133
1,192,1,2D,0.556,0.389,0.160
1,24,3,2D,2.099,0.754,1.314
1,96,1,1D,16.101,0.200,15.896
1,24,3,1D,68.103,0.690,67.410
1,192,2,2D,0.578,0.408,0.165
1,24,4,2D,2.142,0.775,1.347
1,24,2,1D,67.963,0.682,67.278
1,96,3,2D,0.523,0.271,0.247
4,768,1,2D,1.172,0.990,0.179
3,576,1,2D,0.884,0.741,0.140
1,96,4,1D,16.281,0.201,16.076
2,384,1,2D,0.605,0.470,0.131
1,96,3,1D,16.167,0.195,15.972
4,768,1,1D,5.221,0.479,4.742
3,576,4,2D,0.901,0.764,0.134
1,96,2,1D,16.141,0.196,15.945
3,576,3,1D,5.982,0.367,5.605
1,96,2,2D,0.527,0.277,0.243
1,48,3,2D,0.977,0.385,0.580
4,768,3,1D,5.711,0.474,5.237
4,768,4,1D,5.932,0.468,5.464
1,192,1,1D,10.225,0.269,9.956
4,768,3,2D,1.223,1.049,0.171
1,24,4,1D,67.835,0.697,67.137
1,48,4,2D,0.997,0.392,0.592
1,192,4,2D,0.599,0.413,0.177
4,768,4,2D,1.148,0.988,0.158
1,48,2,1D,33.535,0.334,33.200
1,192,5,2D,0.578,0.400,0.172
2,384,5,2D,0.545,0.422,0.119
1,48,1,2D,0.960,0.383,0.564
1,192,2,1D,9.997,0.271,9.717
1,192,3,2D,0.639,0.458,0.175
1,24,2,2D,2.130,0.779,1.324
1,48,5,2D,0.983,0.391,0.578
2,384,2,1D,7.061,0.249,6.811
1,192,3,1D,10.021,0.283,9.737
3,576,2,1D,5.975,0.389,5.585
3,576,4,1D,5.997,0.350,5.647
1,96,5,2D,0.504,0.259,0.239
2,384,2,2D,0.553,0.432,0.117
2,384,1,1D,6.450,0.239,6.201
1,96,5,1D,16.100,0.194,15.900
2,384,3,2D,0.533,0.421,0.108
1,48,2,2D,0.996,0.388,0.593
1,192,4,1D,10.140,0.284,9.855
3,576,2,2D,0.897,0.766,0.127
1,24,5,2D,2.102,0.752,1.322
